Product Type,Product Name,Product Description,Product Images,Marketplace Handle,US Shipping Type,US Shipping Fixed Cost,US Shipping Progressive Cost,Canada Shipping Type,Canada Shipping Fixed Cost,Canada Shipping Progressive Cost,Offers Enabled,Variant Images,Variant Name,Variant Price,Variant Quantity
Buy Now,2020 Bowman Luis Robert - Chicago White Sox,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.",https://m.media-amazon.com/images/I/51OXe9NnVyL._AC_.jpg,midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,1,1
Buy Now,2020 Bowman Luis Robert - Chicago White Sox,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.",https://m.media-amazon.com/images/I/51OXe9NnVyL._AC_.jpg,midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,1,1
Buy Now,1987 Topps Barry Bonds Rookie - Pittsburgh Pirates,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.",https://m.media-amazon.com/images/I/41YjVeuYGmL._AC_.jpg,midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,1,1
