Product Type,Product Name,Product Description,Product Images,Marketplace Handle,US Shipping Type,US Shipping Fixed Cost,US Shipping Progressive Cost,Canada Shipping Type,Canada Shipping Fixed Cost,Canada Shipping Progressive Cost,Offers Enabled,Variant Images,Variant Name,Variant Price,Variant Quantity
Buy Now,Omarion Hampton 2025 Topps Chrome #324 Football Leather Refractor - () - Los Angeles Chargers,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107372-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107372-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,9.00,1
Buy Now,Tre Harris III 2025 Topps Chrome #338 Football Leather Refractor - () - Los Angeles Chargers,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107373-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107373-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Harold Fannin Jr. 2025 Topps Chrome #339 Football Leather Refractor - () - Cleveland Browns,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107374-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107374-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,6.00,1
Buy Now,Mykel Williams 2025 Topps Chrome #352 Football Leather Refractor - () - San Francisco 49ers,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107375-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107375-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Jalon Walker 2025 Topps Chrome #354 Football Leather Refractor - () - Atlanta Falcons,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107376-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107376-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Jahdae Barron 2025 Topps Chrome #359 Football Leather Refractor - () - Denver Broncos,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107377-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107377-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Danny Stutsman 2025 Topps Chrome #373 Football Leather Refractor - () - New Orleans Saints,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107378-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107378-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Tate Ratledge 2025 Topps Chrome #383 Football Leather Refractor - () - Detroit Lions,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107379-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107379-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Kaden Prather 2025 Topps Chrome #394 Football Leather Refractor - () - Buffalo Bills,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107380-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107380-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Tai Felton 2025 Topps Chrome #395 Football Leather Refractor - () - Minnesota Vikings,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107381-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107381-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Elijah Arroyo 2025 Topps Chrome #396 Football Leather Refractor - () - Seattle Seahawks,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107382-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107382-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
